asin	title	subtitle	extended_product_description	authors	narrators	series_title	series_sequence	genres	runtime_length_min	is_finished	percent_complete	rating	num_ratings	date_added	release_date	cover_url	purchase_date
0593509609	Dead in the Water	A True Story of Hijacking, Murder, and a Global Maritime Conspiracy		Matthew Campbell, Kit Chellel	Derek Perkins			Biographies & Memoirs, True Crime, Organized Crime, Money & Finance, International	562	False	0.0	4.6	422	2022-05-03T07:02:53.113Z	2022-05-03	https://m.media-amazon.com/images/I/51rZ0J9tKHL._SL500_.jpg	2022-05-03T07:02:53.113Z
1469075334	The Little Book of Valuation	How to Value a Company, Pick a Stock and Profit		Aswath Damodaran	Matthew Boston			Money & Finance, Corporate & Public Finance, Corporate, Money & Finance, Investing & Trading, Stocks, Money & Finance, Personal Finance	289	False	0.0	4.4	133	2024-05-08T12:47:48.000Z	2019-07-30	https://m.media-amazon.com/images/I/51FbfqVcP0L._SL500_.jpg	2024-05-08T12:47:48.000Z
1478948000	Billion Dollar Whale			Bradley Hope, Tom Wright	Will Collyer			Biographies & Memoirs, True Crime, Con Artists, Hoaxes & Deceptions, Biographies & Memoirs, True Crime, Business & Careers, Politics & Social Sciences, Politics & Government	746	False	4.02	4.5	7625	2023-08-15T04:52:29.590Z	2018-09-18	https://m.media-amazon.com/images/I/51d2wR7k3GL._SL500_.jpg	2023-08-15T04:52:29.590Z
1478993359	Surprise, Kill, Vanish	The Secret History of CIA Paramilitary Armies, Operators, and Assassins		Annie Jacobsen	Annie Jacobsen			History, Americas, History, Military, Intelligence & Espionage, Politics & Social Sciences, Politics & Government, Freedom & Security, Intelligence & Espionage	1145	True	95.46	4.7	5221	2024-04-15T23:31:45.425Z	2019-05-14	https://m.media-amazon.com/images/I/41F5PGoIqZL._SL500_.jpg	2024-04-15T23:31:45.425Z
1494546582	Trade Wars Are Class Wars	How Rising Inequality Distorts the Global Economy and Threatens International Peace		Matthew C. Klein, Michael Pettis	Bob Souer			Money & Finance, Economics, Economic History, Politics & Social Sciences, Politics & Government, International Relations, Trades & Tariffs, Politics & Social Sciences, Politics & Government, Public Policy, Economic, Politics & Social Sciences, Sociology	512	False	0.0	4.4	217	2024-05-14T09:10:05.000Z	2020-05-19	https://m.media-amazon.com/images/I/514yEuuQzdL._SL500_.jpg	2024-05-14T09:10:05.000Z
1541431898	The Code of Capital	How the Law Creates Wealth and Inequality		Katharina Pistor	Laural Merlington			Politics & Social Sciences, Law, Politics & Social Sciences, Politics & Government, Political Science, Politics & Social Sciences, Politics & Government, Public Policy, Economic, Politics & Social Sciences, Sociology	683	False	0.0	4.4	104	2023-01-23T20:19:20.000Z	2019-10-08	https://m.media-amazon.com/images/I/51ZJDxFSagL._SL500_.jpg	2023-01-23T20:19:20.000Z
1705003982	Outside the Box	How Globalization Changed from Moving Stuff to Spreading Ideas		Marc Levinson	L.J. Ganser			Money & Finance, International, Economics, Money & Finance, International, Globalization	548	False	0.0	4.5	36	2024-04-20T21:38:10.000Z	2020-09-25	https://m.media-amazon.com/images/I/51qa+MbUXxL._SL500_.jpg	2024-04-20T21:38:10.000Z
1984841823	White Shoe	How a New Breed of Wall Street Lawyers Changed Big Business and the American Century		John Oller	Stephen Graybill			Business & Careers, History, Modern, 19th Century, Politics & Social Sciences, Law, History	778	False	83.68	4.5	53	2023-06-03T21:30:37.716Z	2019-03-19	https://m.media-amazon.com/images/I/51EC8+d9QLL._SL500_.jpg	2023-06-03T21:30:37.716Z
B002UZKIBO	A Clash of Kings	A Song of Ice and Fire, Book 2		George R.R. Martin	Roy Dotrice	A Song of Ice and Fire	2	Science Fiction & Fantasy, Fantasy, Action & Adventure, Science Fiction & Fantasy, Fantasy, Epic	2232	False	38.71	4.8	90752	2022-07-22T03:30:39.528Z	2003-12-28	https://m.media-amazon.com/images/I/61tt727Of0L._SL500_.jpg	2022-07-22T03:30:39.528Z
B002UZKL7A	Eragon	Inheritance, Book 1		Christopher Paolini	Gerard Doyle	The Inheritance Cycle	1		982	True	0.0	4.7	42843	2022-09-09T02:13:01.708Z	2003-10-16	https://m.media-amazon.com/images/I/51i7mXy61VL._SL500_.jpg	2022-09-09T02:13:01.708Z
B002UZZ93G	A Game of Thrones	A Song of Ice and Fire, Book 1		George R.R. Martin	Roy Dotrice	A Song of Ice and Fire	1	Literature & Fiction, Genre Fiction, Movie, TV & Video Game Tie-Ins, Science Fiction & Fantasy, Fantasy, Action & Adventure, Science Fiction & Fantasy, Fantasy, Dragons & Mythical Creatures, Science Fiction & Fantasy, Fantasy, Epic, Science Fiction & Fantasy, Fantasy, Movie, TV & Video Game Tie-Ins	2026	True	93.39	4.8	147249	2020-05-05T22:29:09.162Z	2003-12-09	https://m.media-amazon.com/images/I/51y1J8oFBqL._SL500_.jpg	2020-05-05T22:29:09.162Z
B002V0A444	Brisingr	The Inheritance Cycle, Book 3		Christopher Paolini	Gerard Doyle	The Inheritance Cycle	3	Teen & Young Adult, Literature & Fiction, Teen & Young Adult, Science Fiction & Fantasy, Fantasy, Epic	1774	True	0.0	4.7	19745	2022-10-19T01:18:57.453Z	2008-09-20	https://m.media-amazon.com/images/I/51siq9Ad2iL._SL500_.jpg	2022-10-19T01:18:57.453Z
B002V1AFK6	Homage to Catalonia			George Orwell	Frederick Davidson			History, Europe, History, Military, Literature & Fiction, Classics	505	False	0.0	4.6	1857	2022-10-04T23:45:11.000Z	2009-03-19	https://m.media-amazon.com/images/I/51L8Vntoz0L._SL500_.jpg	2022-10-04T23:45:11.000Z
B002V1C56S	Six Frigates			Ian W. Toll	Stephen Lang			History, Americas, History, Military	430	False	100.0	4.7	1430	2024-01-21T15:58:25.517Z	2006-10-03	https://m.media-amazon.com/images/I/51j3yBV5afL._SL500_.jpg	2024-01-21T15:58:25.517Z
B002V1C73Y	A Conflict of Visions	Ideological Origins of Political Struggles		Thomas Sowell	Michael Edwards			Politics & Social Sciences, Politics & Government, Political Science, Politics & Social Sciences, Social Sciences	428	False	0.0	4.6	1611	2022-10-04T23:46:54.000Z	2006-12-18	https://m.media-amazon.com/images/I/51eNPBuJoyL._SL500_.jpg	2022-10-04T23:46:54.000Z
B002V1OF70	Dune			Frank Herbert	Scott Brick, Orlagh Cassidy, Euan Morton, Simon Vance, Ilyana Kadushin, Byron Jennings, David R. Gordon, Jason Culp, Kent Broadhurst, Oliver Wyman, Patricia Kilgarriff, Scott Sowers	Dune	1	Science Fiction & Fantasy, Fantasy, Science Fiction & Fantasy, Science Fiction, Space Opera	1262	False	99.92	4.7	125242	2021-10-24T00:05:04.605Z	2006-12-31	https://m.media-amazon.com/images/I/41rrXYM-wHL._SL500_.jpg	2021-10-24T00:05:04.605Z
B002V1OPUM	The City of Ember	The First Book of Ember		Jeanne DuPrau	Wendy Dillon	The Books of Ember	1	Children's Audiobooks, Growing Up & Facts of Life, Children's Audiobooks, Science Fiction & Fantasy, Science Fiction, Action & Adventure, Children's Audiobooks, Science Fiction & Fantasy, Science Fiction, Dystopian	410	False	18.29	4.4	3140	2023-05-14T02:14:17.875Z	2004-06-04	https://m.media-amazon.com/images/I/41bDzVPTtuL._SL500_.jpg	2023-05-14T02:14:17.875Z
B002V57VRC	Children of Dune			Frank Herbert	Scott Brick, Simon Vance	The Dune Sequence	14	Literature & Fiction, Classics, Science Fiction & Fantasy, Fantasy, Science Fiction & Fantasy, Science Fiction, Space Opera	1011	False	15.23	4.6	17934	2021-11-24T02:09:49.660Z	2008-02-05	https://m.media-amazon.com/images/I/51Vi0xHNn8L._SL500_.jpg	2021-11-24T02:09:49.660Z
B002V5A3PE	Reminiscences of a Stock Operator			Edwin Lefevre	Rick Rohan			Biographies & Memoirs, Professionals & Academics, Business, Money & Finance, Investing & Trading, Money & Finance, Personal Finance	592	False	0.0	4.7	3288	2023-10-28T16:05:22.000Z	2007-01-29	https://m.media-amazon.com/images/I/51y9wc1JDHL._SL500_.jpg	2023-10-28T16:05:22.000Z
B002V5GOHA	Freakonomics	Revised Edition		Steven D. Levitt, Stephen J. Dubner	Stephen J. Dubner			Money & Finance, Economics, Theory, Politics & Social Sciences, Social Sciences, Popular Culture, Science & Engineering, Mathematics	471	False	0.0	4.4	12309	2020-11-11T16:40:50.811Z	2007-06-14	https://m.media-amazon.com/images/I/51CUvlxvifL._SL500_.jpg	2020-11-11T16:40:50.811Z
B002V8H660	Dune Messiah			Frank Herbert	Scott Brick, Katherine Kellgren, Euan Morton, Simon Vance	Dune	2	Literature & Fiction, Classics, Science Fiction & Fantasy, Fantasy, Science Fiction & Fantasy, Science Fiction, Space Opera	537	True	100.0	4.4	30948	2021-11-08T00:38:45.461Z	2007-10-01	https://m.media-amazon.com/images/I/41dcXp9bIoL._SL500_.jpg	2021-11-08T00:38:45.461Z
B002V9ZA6C	Endurance	Shackleton's Incredible Voyage		Alfred Lansing	Simon Prebble			Biographies & Memoirs, Adventurers, Explorers & Survival, History, Arctic & Antarctica, History, World, Expeditions & Discoveries, Science & Engineering, Engineering, Transportation, Ships & Shipbuilding	621	False	0.0	4.8	26293	2024-12-27T02:55:56.718Z	2008-04-08	https://m.media-amazon.com/images/I/51nrojPPaOL._SL500_.jpg	2024-12-27T02:55:56.718Z
B002VA9SWS	The Hitchhiker's Guide to the Galaxy			Douglas Adams	Stephen Fry	Hitchhiker's Guide to the Galaxy	1	Science Fiction & Fantasy, Fantasy, Science Fiction & Fantasy, Science Fiction, Humorous, Comedy & Humor, Literature & Fiction	351	False	2.28	4.6	55756	2021-05-21T03:27:36.377Z	2005-04-28	https://m.media-amazon.com/images/I/51b09NRSkiL._SL500_.jpg	2021-05-21T03:27:36.377Z
B002VACF3W	The Machiavellians	Defenders of Freedom		James Burnham	Jeff Riggenbach			Politics & Social Sciences, Philosophy, Politics & Social Sciences, Politics & Government, Political Science, Philosophy	551	False	0.0	4.6	714	2022-10-04T23:44:42.000Z	2009-05-07	https://m.media-amazon.com/images/I/51NxUaK3UNL._SL500_.jpg	2022-10-04T23:44:42.000Z
B0030URMV2	Intellectuals and Society			Thomas Sowell	Tom Weiner			Politics & Social Sciences, Politics & Government, Political Science, History & Theory, Politics & Social Sciences, Social Sciences, Politics & Social Sciences, Sociology	682	False	0.0	4.6	2145	2022-10-04T23:48:29.000Z	2010-01-14	https://m.media-amazon.com/images/I/41M71ZCsiyL._SL500_.jpg	2022-10-04T23:48:29.000Z
B0036IPPB2	Dirk Gently's Holistic Detective Agency			Douglas Adams	Douglas Adams	Dirk Gently (abridged)	1	Science Fiction & Fantasy, Fantasy, Humorous, Science Fiction & Fantasy, Science Fiction, Humorous, Comedy & Humor, Literature & Fiction	181	False	24.86	4.5	2132	2021-06-07T21:17:43.858Z	2010-02-22	https://m.media-amazon.com/images/I/51LNWQGMgJL._SL500_.jpg	2021-06-07T21:17:43.858Z
B003WVNWU4	Eldest	The Inheritance Cycle, Book 2		Christopher Paolini	Gerard Doyle	The Inheritance Cycle	2	Teen & Young Adult, Literature & Fiction, Teen & Young Adult, Science Fiction & Fantasy, Fantasy, Epic	1410	True	100.0	4.8	30226	2022-09-22T05:02:57.873Z	2010-07-22	https://m.media-amazon.com/images/I/51qCEi-auNL._SL500_.jpg	2022-09-22T05:02:57.873Z
B003WZC3S2	On Stranger Tides			Tim Powers	Bronson Pinchot			Science Fiction & Fantasy, Fantasy, Paranormal & Urban, Contemporary, Science Fiction & Fantasy, Science Fiction, Adventure	721	False	5.41	4.3	970	2023-07-13T04:08:23.669Z	2010-07-22	https://m.media-amazon.com/images/I/51i5F+jRQ1L._SL500_.jpg	2023-07-13T04:08:23.669Z
B00482T0DY	Surface Detail	A Culture Novel		Iain M. Banks	Peter Kenny	Culture	9	Science Fiction & Fantasy, Science Fiction, Adventure, Science Fiction & Fantasy, Science Fiction, Hard Science Fiction, Science Fiction & Fantasy, Science Fiction, Space Opera	1223	False	0.08	4.7	1835	2018-11-02T02:39:36.437Z	2010-10-28	https://m.media-amazon.com/images/I/51RXPG09DsL._SL500_.jpg	2018-11-02T02:39:36.437Z
B004P7VGWU	The Prefect			Alastair Reynolds	John Lee	The Prefect Dreyfus Emergencies	1	Science Fiction & Fantasy, Science Fiction, Adventure, Science Fiction & Fantasy, Science Fiction, Hard Science Fiction, Science Fiction & Fantasy, Science Fiction, Space Opera	1181	False	0.0	4.4	3488	2024-04-28T15:50:57.000Z	2011-02-28	https://m.media-amazon.com/images/I/612ctxaeBZL._SL500_.jpg	2024-04-28T15:50:57.000Z
B004ZLBCO8	Consider Phlebas			Iain M. Banks	Peter Kenny	Culture	1	Science Fiction & Fantasy, Fantasy, Science Fiction & Fantasy, Science Fiction, Adventure, Science Fiction & Fantasy, Science Fiction, Hard Science Fiction, Science Fiction & Fantasy, Science Fiction, Space Opera	986	False	100.0	4.1	4593	2019-02-28T17:54:51.017Z	2011-05-06	https://m.media-amazon.com/images/I/51YptZkcrjL._SL500_.jpg	2019-02-28T17:54:51.017Z
B004ZLBFZ4	The Player of Games			Iain M. Banks	Peter Kenny	Culture	2	Science Fiction & Fantasy, Science Fiction, Adventure, Science Fiction & Fantasy, Science Fiction, Space Opera	685	False	99.85	4.6	4555	2019-02-01T18:24:48.994Z	2011-05-06	https://m.media-amazon.com/images/I/51c9oEiZ5SL._SL500_.jpg	2019-02-01T18:24:48.994Z
B005ZWA2P6	Inheritance	The Inheritance Cycle, Book 4		Christopher Paolini	Gerard Doyle	The Inheritance Cycle	4	Teen & Young Adult, Literature & Fiction, Action & Adventure, Teen & Young Adult, Literature & Fiction, Teen & Young Adult, Science Fiction & Fantasy, Fantasy, Epic	1877	True	0.0	4.7	20350	2022-11-15T04:04:44.670Z	2011-11-08	https://m.media-amazon.com/images/I/51qw-ZuHjZL._SL500_.jpg	2022-11-15T04:04:44.670Z
B0099RKRTY	The Fellowship of the Ring	Book One in The Lord of the Rings Trilogy		J. R. R. Tolkien	Rob Inglis	The Lord of the Rings	1	Literature & Fiction, Classics, Science Fiction & Fantasy, Fantasy, Epic	1147	True	99.91	4.8	66619	2023-01-31T02:50:32.423Z	2012-10-09	https://m.media-amazon.com/images/I/51eVNlqfveL._SL500_.jpg	2023-01-31T02:50:32.423Z
B009KPSRIS	The Hydrogen Sonata			Iain M. Banks	Peter Kenny	Culture	10	Science Fiction & Fantasy, Science Fiction, Adventure, Science Fiction & Fantasy, Science Fiction, Hard Science Fiction, Science Fiction & Fantasy, Science Fiction, Space Opera	1034	False	96.23	4.5	1605	2018-12-06T00:38:15.406Z	2012-10-09	https://m.media-amazon.com/images/I/51zU8xpdkTL._SL500_.jpg	2018-12-06T00:38:15.406Z
B00B505CH0	Use of Weapons			Iain M. Banks	Peter Kenny	Culture	3	Science Fiction & Fantasy, Science Fiction, Adventure, Science Fiction & Fantasy, Science Fiction, Hard Science Fiction, Science Fiction & Fantasy, Science Fiction, Military, Science Fiction & Fantasy, Science Fiction, Space Opera	809	False	75.15	4.5	2184	2019-03-12T01:06:10.732Z	2013-04-02	https://m.media-amazon.com/images/I/51hxlqpJm8L._SL500_.jpg	2019-03-12T01:06:10.732Z
B00BIPMIE2	Excession	Culture Series, Book 5		Iain M. Banks	Peter Kenny	Culture	5	Literature & Fiction, Genre Fiction, Literary Fiction, Science Fiction & Fantasy, Science Fiction	955	True	0.0	4.5	452	2020-09-08T20:08:49.746Z	2013-03-07	https://m.media-amazon.com/images/I/61WShQmaY2L._SL500_.jpg	2020-09-08T20:08:49.746Z
B00CZGIAEA	Inversions	Culture Series, Book 6		Iain M. Banks	Peter Kenny	Culture	6	Science Fiction & Fantasy, Science Fiction	686	False	7.73	4.4	210	2020-09-08T20:06:55.473Z	2013-06-06	https://m.media-amazon.com/images/I/51yVY0g+WKL._SL500_.jpg	2020-09-08T20:06:55.473Z
B00HS4OUP2	The State of the Art	Culture Series, Book 4		Iain M. Banks	Peter Kenny	Culture	4	Literature & Fiction, Anthologies & Short Stories, Short Stories, Literature & Fiction, Horror, Anthologies & Short Stories, Science Fiction & Fantasy, Science Fiction, Anthologies & Short Stories	380	False	0.0	3.9	165	2020-09-08T20:09:13.950Z	2014-01-23	https://m.media-amazon.com/images/I/5132F3lIFuL._SL500_.jpg	2020-09-08T20:09:13.950Z
B00HS5BC3O	Look to Windward	Culture Series, Book 7		Iain M. Banks	Peter Kenny	Culture	7	Science Fiction & Fantasy, Science Fiction	731	False	20.11	4.6	289	2020-09-08T20:11:03.026Z	2014-01-23	https://m.media-amazon.com/images/I/51EiNzF7BJL._SL500_.jpg	2020-09-08T20:11:03.026Z
B00I470OY8	Matter	Culture, Book 8		Iain M. Banks	Toby Longworth	Culture	8	Science Fiction & Fantasy, Science Fiction, Adventure, Science Fiction & Fantasy, Science Fiction, Space Opera	1078	False	99.91	4.6	1311	2019-12-23T04:15:45.673Z	2014-02-11	https://m.media-amazon.com/images/I/51ZOcZ2T4JL._SL500_.jpg	2019-12-23T04:15:45.673Z
B00URXOQ1E	The Art of War			Sun Tzu	Aidan Gillen			Business & Careers, Management & Leadership, Leadership, Business & Careers, Career Success, Motivation & Self-Improvement, History, Asia, Central Asia, History, Military, Military Science, History, World, Literature & Fiction, Classics, Politics & Social Sciences, Law, Politics & Social Sciences, Philosophy, Eastern, Relationships, Parenting & Personal Development, Personal Development	67	False	0.0	4.6	42184	2024-05-12T02:18:06.000Z	2015-03-31	https://m.media-amazon.com/images/I/51EE3GAdmfL._SL500_.jpg	2024-05-12T02:18:06.000Z
B013V2QVLK	The Republic of Pirates	Being the True and Surprising Story of the Caribbean Pirates and the Man Who Brought Them Down		Colin Woodard	Lewis Grenville			Biographies & Memoirs, True Crime, History, Americas, Caribbean & West Indies, History, Modern, 18th Century	806	False	0.0	4.4	8284	2022-08-15T15:24:00.000Z	2015-08-14	https://m.media-amazon.com/images/I/412sygt+Y3L._SL500_.jpg	2022-08-15T15:24:00.000Z
B0147D0FLY	Primed to Perform	How to Build the Highest Performing Cultures Through the Science of Total Motivation		Neel Doshi, Lindsay McGregor	Charles Kahlenberg			Business & Careers, Management & Leadership, Management, Business & Careers, Workplace & Organizational Behavior, Organizational Behavior, Health & Wellness, Psychology & Mental Health, Psychology, Occupational & Organizational	538	False	46.1	4.5	179	2023-06-28T22:08:05.908Z	2015-10-07	https://m.media-amazon.com/images/I/51cuoMt4dEL._SL500_.jpg	2023-06-28T22:08:05.908Z
B01K5UCNFO	Designing Your Life	How to Build a Well-Lived, Joyful Life		Bill Burnett, Dave Evans	Bill Burnett, Dave Evans			Business & Careers, Career Success, Health & Wellness, Hygiene & Healthy Living, Relationships, Parenting & Personal Development, Personal Development, Personal Success	378	False	28.04	4.5	2706	2022-07-12T17:25:22.208Z	2016-09-20	https://m.media-amazon.com/images/I/31bol99ePHL._SL500_.jpg	2022-07-12T17:25:22.208Z
B01M5KTF4J	How I Raised Myself from Failure to Success in Selling			Frank Bettger	Arthur Morey			Business & Careers, Management & Leadership, Leadership, Business & Careers, Marketing & Sales, Sales & Selling, Business & Careers, Career Success, Business & Careers, Career Success	375	False	0.0	4.8	2110	2020-01-25T17:24:05.226Z	2016-12-06	https://m.media-amazon.com/images/I/51fOXdMFdIL._SL500_.jpg	2020-01-25T17:24:05.226Z
B06WWBWSHH	Black Edge	Inside Information, Dirty Money, and the Quest to Bring Down the Most Wanted Man on Wall Street		Sheelah Kolhatkar	Kaleo Griffith			Biographies & Memoirs, True Crime, Business & Careers, Money & Finance, Economics, Money & Finance, Investing & Trading, Politics & Social Sciences, Politics & Government	752	False	0.0	4.6	2244	2022-04-14T13:05:08.175Z	2017-03-28	https://m.media-amazon.com/images/I/51dLHwJgaoL._SL500_.jpg	2022-04-14T13:05:08.175Z
B076HSP1FT	20,000 Leagues Under the Sea			Jules Verne	David Linski	Captain Nemo	1	Literature & Fiction, Action & Adventure, Classics, Literature & Fiction, Classics, Literature & Fiction, Genre Fiction, Literary Fiction, Literature & Fiction, Historical Fiction, Literature & Fiction, World Literature, Science Fiction & Fantasy, Fantasy, Science Fiction & Fantasy, Science Fiction	673	False	89.6	4.5	8450	2022-08-23T01:47:30.000Z	2017-10-24	https://m.media-amazon.com/images/I/51NsPwILyfL._SL500_.jpg	2022-08-23T01:47:30.000Z
B07CL3F5H2	Fire & Blood (HBO Tie-in Edition)	300 Years Before A Game of Thrones		George R. R. Martin	Simon Vance	The Targaryen Dynasty: The House of the Dragon	2	Literature & Fiction, Action & Adventure, Science Fiction & Fantasy, Fantasy, Dragons & Mythical Creatures, Science Fiction & Fantasy, Fantasy, Epic	1584	False	62.88	4.5	20973	2021-01-02T20:30:11.082Z	2018-11-20	https://m.media-amazon.com/images/I/41X2Q07e8CL._SL500_.jpg	2021-01-02T20:30:11.082Z
B07RV4JLHJ	Super Pumped	The Battle for Uber		Mike Isaac	Holter Graham, Mike Isaac			Business & Careers, Workplace & Organizational Behavior, Workplace Culture, Computers & Technology, History & Culture, Technology & Society	772	False	0.0	4.6	1964	2020-10-06T19:27:05.340Z	2019-09-03	https://m.media-amazon.com/images/I/51k1TaV6bCL._SL500_.jpg	2020-10-06T19:27:05.340Z
B082BHJMFF	The Martian			Andy Weir	Wil Wheaton			Science Fiction & Fantasy, Science Fiction, Adventure, Science Fiction & Fantasy, Science Fiction, Hard Science Fiction	659	True	0.0	4.8	39079	2020-01-02T00:21:39.773Z	2020-01-01	https://m.media-amazon.com/images/I/414J3xG+7+L._SL500_.jpg	2020-01-02T00:21:39.773Z
B08GKXYD2B	Radical Hamilton	Economic Lessons from a Misunderstood Founder		Christian Parenti	Jason Culp			Politics & Social Sciences, Politics & Government, International Relations, Globalization, Politics & Social Sciences, Politics & Government, Political Science, History & Theory	602	False	6.48	4.8	17	2024-03-18T02:43:02.194Z	2020-10-06	https://m.media-amazon.com/images/I/51G1sd5fB-L._SL500_.jpg	2024-03-18T02:43:02.194Z
B0BVGH5VD4	What's Our Problem?	A Self-Help Book for Societies		Tim Urban	Tim Urban			Health & Wellness, Psychology & Mental Health, Psychology, Social Psychology & Interactions, Politics & Social Sciences, Politics & Government	838	False	0.24	4.6	509	2023-02-26T22:39:52.956Z	2023-02-21	https://m.media-amazon.com/images/I/41KX-1TEPhL._SL500_.jpg	2023-02-26T22:39:52.956Z
B0BVKWW5G8	The Fund	Ray Dalio, Bridgewater Associates, and the Unraveling of a Wall Street Legend		Rob Copeland	Rob Copeland, Will Damron			Biographies & Memoirs, Professionals & Academics, Business, Business & Careers	774	False	99.87	4.5	568	2023-11-14T11:37:14.927Z	2023-11-07	https://m.media-amazon.com/images/I/51n7m7ZhD9L._SL500_.jpg	2023-11-14T11:37:14.927Z
B0BX4SCV1V	Elon Musk			Walter Isaacson	Jeremy Bobb, Walter Isaacson			Biographies & Memoirs, Professionals & Academics, Business, Biographies & Memoirs, Professionals & Academics, Science & Technology, Computers & Technology, History & Culture, History	1239	False	98.95	4.8	8666	2023-09-12T07:07:10.127Z	2023-09-12	https://m.media-amazon.com/images/I/519diyDo0ML._SL500_.jpg	2023-09-12T07:07:10.127Z
B0CD8BYSTX	Going Infinite	The Rise and Fall of a New Tycoon		Michael Lewis	Michael Lewis			Biographies & Memoirs, Professionals & Academics, Business, Business & Careers	575	False	0.0	4.3	2243	2023-10-27T11:41:41.215Z	2023-10-03	https://m.media-amazon.com/images/I/51F3VMe8f3L._SL500_.jpg	2023-10-27T11:41:41.215Z
B0CDHKYBBB	Private Equity	A Memoir		Carrie Sun	Carrie Sun			Biographies & Memoirs, Professionals & Academics, Business, Biographies & Memoirs, Women	524	False	96.18	4.0	146	2024-02-19T14:04:14.570Z	2024-02-13	https://m.media-amazon.com/images/I/41Q3uXeB+QL._SL500_.jpg	2024-02-19T14:04:14.570Z
